update,area1,area2,day,spot,ruby,atr,
,関西,大阪府,,大阪メトロ堺筋線 北浜駅～堺筋本町駅間,おおさかめとろさかいすじせん きたはまえき～さかいすじほんまちえきかん,鉄道,
,関西,大阪府,,大阪メトロ四つ橋線 なんば駅～大国町駅間,おおさかめとろよつばしせん なんばえき～だいこくちょうえきかん,鉄道,
,関西,大阪府,,大阪メトロ四つ橋線 花園町駅～岸里駅間,おおさかめとろよつばしせん はなぞのちょうえき～きしのさとえきかん,鉄道,
,関西,大阪府,,大阪メトロ四つ橋線 四ツ橋駅～なんば駅間,おおさかめとろよつばしせん よつばしえき～なんばえきかん,鉄道,
,関西,大阪府,,大阪メトロ四つ橋線 西梅田駅～肥後橋駅間,おおさかめとろよつばしせん にしうめだえき～ひごばしえきかん,鉄道,
,関西,大阪府,,大阪メトロ四つ橋線 大国町駅～花園町駅間,おおさかめとろよつばしせん だいこくちょうえき～はなぞのちょうえきかん,鉄道,
,関西,大阪府,,大阪メトロ四つ橋線 肥後橋駅,おおさかめとろよつばしせん ひごばしえき,鉄道,
,関西,大阪府,,大阪メトロ四つ橋線 肥後橋駅～本町駅間,おおさかめとろよつばしせん ひごばしえき～ほんまちえきかん,鉄道,
,関西,大阪府,,大阪メトロ四つ橋線 本町駅,おおさかめとろよつばしせん ほんまちえき,鉄道,
,関西,大阪府,,大阪メトロ四つ橋線 本町駅～四ツ橋駅間,おおさかめとろよつばしせん ほんまちえき～よつばしえきかん,鉄道,
,関西,大阪府,,大阪メトロ千日前線 なんば駅～日本橋駅間,おおさかめとろせんにちまえせん なんばえき～にほんばしえきかん,鉄道,
,関西,大阪府,,大阪メトロ千日前線 阿波座駅～西長堀駅間,おおさかめとろせんにちまえせん あわざえき～にしながほりえきかん,鉄道,
,関西,大阪府,,大阪メトロ千日前線 玉川駅～阿波座駅間,おおさかめとろせんにちまえせん たまがわえき～あわざえきかん,鉄道,
,関西,大阪府,,大阪メトロ千日前線 今里駅,おおさかめとろせんにちまえせん いまざとえき,鉄道,
,関西,大阪府,,大阪メトロ千日前線 今里駅～新深江駅間,おおさかめとろせんにちまえせん いまさとえき～しんふかええきかん,鉄道,
,関西,大阪府,,大阪メトロ千日前線 桜川駅～なんば駅間,おおさかめとろせんにちまえせん さくらがわえき～なんばえきかん,鉄道,
,関西,大阪府,,大阪メトロ千日前線 小路駅,おおさかめとろせんにちまえせん しょうじえき,鉄道,
